Algorithm,Total_Time_s,Total_Samples,Avg_ESS,ESS_per_Second,Samples_per_Second
Gibbs,1.8787956237792969,32000,31621.323864007718,16830.635255792087,17032.187852146635
Metropolis-Hastings,2.8872616291046143,32000,11.073636284880118,3.835342171022523,11083.16602743192
