,Mean,SD,2.5%,97.5%
0,8.8198,0.0011,8.8177,8.8219
1,0.487,0.0003,0.4863,0.4877
2,-0.0742,0.0015,-0.0772,-0.0713
3,0.0666,0.0003,0.0659,0.0673
4,0.1223,0.0003,0.1216,0.123
5,1.5496,0.0021,1.5455,1.5538
