"","Mean","SD","2.5%","97.5%"
"(Intercept)",8461.4571,246.9068,7977.6153,8942.6416
"age",3618.6483,169.6418,3287.0755,3949.8931
"sex1",-127.4968,333.8421,-777.7926,527.906
"bmi",1967.4636,165.5628,1641.7853,2290.5396
"children",572.0379,166.1637,248.5019,899.8678
"smoker1",23821.535,413.0899,23004.2064,24626.9805
