"Parameter","Gibbs_ESS","MH_ESS","ESS_Ratio"
"β0",31576.7745639366,366.888065521476,86.0665078299971
"β1",30488.4191466419,738.086948171343,41.3073544006961
"β2",31478.9973206748,317.161974816903,99.2521166474878
"β3",32749.7448837565,571.931832979138,57.2616227936925
"β4",32574.1818029911,665.541370129625,48.9438872847931
"β5",31521.5521623353,284.393866378589,110.837665255317
"σ²",32000.0000000001,7154.90785163666,4.47245452541785
