Model,Sampler,Runtime_s,Avg_ESS,ESS_per_s,Acc_beta_pct,Acc_sigma2_pct
Baseline (charges),Gibbs,8.430000000000291,31756.19786383534,3767.04600994475,NA,NA
Baseline (charges),Metropolis--Hastings,6.43999999999869,1442.7017013762475,224.02200331933864,5.475,39.4625
Log model (log(charges)),Gibbs,7.4099999999998545,31776.974774300157,4288.390657800375,NA,NA
Log model (log(charges)),Metropolis--Hastings,5.81000000000131,1990.3499597391547,342.5731428121697,36.235,37.91
Interaction model,Gibbs,7.849999999998545,31786.09627392896,4049.184238717816,NA,NA
Interaction model,Metropolis--Hastings,6.8400000000001455,1720.3358731754874,251.51109256951037,34.045,38.26
