"","Mean","SD","2.5%","97.5%"
"(Intercept)",8460.0404,246.6741,7975.7923,8942.6663
"age",3619.1188,169.4224,3289.1473,3951.9305
"sex1",-126.2047,334.4091,-778.6352,531.2959
"bmi",1965.7582,166.0463,1637.1002,2287.9552
"children",571.4874,166.2113,248.4119,900.1781
"smoker1",23824.1936,414.5883,23010.4308,24638.7151
