"Parameter","Gibbs_Rhat","MH_Rhat","Both_Converged"
"β0",1.00001153956458,1.00744535260377,TRUE
"β1",1.00002762653971,1.00695632041743,TRUE
"β2",1.00004574744169,1.03021666823847,TRUE
"β3",1.0001111311468,1.02124101539195,TRUE
"β4",1.00010550917348,1.00291896424152,TRUE
"β5",1.0001054702135,1.00657841955783,TRUE
"σ²",1.00020945158873,1.00027568657769,TRUE
