"Parameter","Gibbs_ESS","MH_ESS","ESS_Ratio"
"β0",23888.7450299202,229.669300999622,104.013661930201
"β1",22171.9843611118,498.307285549615,44.4946020338773
"β2",23491.5654109732,197.241012484301,119.100815368421
"β3",24000,354.686379780343,67.6654119474879
"β4",24551.467829742,433.608589808205,56.6212672138292
"β5",24507.6816677476,190.060163803011,128.946966988562
"σ²",24000,5169.28569399234,4.64280781151106
