"Parameter","Gibbs_Mean","MH_Mean","Difference","Gibbs_SD","MH_SD"
"β0",8460.04039549995,8457.53516649473,2.50522900521173,246.674141547516,266.312556598633
"β1",3619.11883768846,3612.97730610515,6.14153158330237,169.422380713465,163.919630494934
"β2",-126.20468316656,-98.8259278783191,-27.3787552882405,334.409117086544,339.520157129748
"β3",1965.7582408727,1982.51523097669,-16.7569901039903,166.046336274543,169.35972291061
"β4",571.48737975519,571.385761337237,0.101618417953432,166.211270322215,167.334898970368
"β5",23824.1935943838,23800.8505405484,23.343053835415,414.588281517463,399.834663996482
"σ²",36922337.4562584,36756411.4694862,165925.986772135,1453768.26202202,1421160.09618361
